book_name,author(s),publisher,language,#pages,best_seller_rank,customer_reviews,total_ratings,url,paperback_price($)
"Designing Data-Intensive Applications: The Big Ideas Behind Reliable, Scalable, and Maintainable Systems",Martin Kleppmann,O'Reilly Media,,611,2598,['4.8'],"['3,865']",https://www.amazon.com/Designing-Data-Intensive-Applications-Reliable-Maintainable/dp/1449373321/ref=sr_1_1?crid=2YD904R136ZW3&keywords=data+science+books&qid=1687786341&refinements=p_n_feature_browse-bin%3A2656022011&rnid=618072011&s=books&sprefix=data+science+books%2Caps%2C421&sr=1-1,32.86
"Ace the Data Science Interview: 201 Real Interview Questions Asked By FAANG, Tech Startups, & Wall Street","Kevin Huo,Nick Singh",Ace the Data Science Interview,,301,6795,['4.5'],['818'],https://www.amazon.com/Ace-Data-Science-Interview-Questions/dp/0578973839/ref=sr_1_2?crid=2YD904R136ZW3&keywords=data+science+books&qid=1687786341&refinements=p_n_feature_browse-bin%3A2656022011&rnid=618072011&s=books&sprefix=data+science+books%2Caps%2C421&sr=1-2,36.35
Fundamentals of Data Engineering: Plan and Build Robust Data Systems,"Joe Reis,Matt Housley",O'Reilly Media,,446,10052,['4.7'],['251'],https://www.amazon.com/Fundamentals-Data-Engineering-Robust-Systems/dp/1098108302/ref=sr_1_3?crid=2YD904R136ZW3&keywords=data+science+books&qid=1687786341&refinements=p_n_feature_browse-bin%3A2656022011&rnid=618072011&s=books&sprefix=data+science+books%2Caps%2C421&sr=1-3,43.99
"Python for Data Analysis: Data Wrangling with pandas, NumPy, and Jupyter",Wes McKinney,O'Reilly Media,,579,11945,['4.5'],['134'],https://www.amazon.com/Python-Data-Analysis-Wrangling-Jupyter/dp/109810403X/ref=sr_1_4?crid=2YD904R136ZW3&keywords=data+science+books&qid=1687786341&refinements=p_n_feature_browse-bin%3A2656022011&rnid=618072011&s=books&sprefix=data+science+books%2Caps%2C421&sr=1-4,38.10
Practical Statistics for Data Scientists: 50+ Essential Concepts Using R and Python,Peter Gedeck,O'Reilly Media,,360,19402,['4.6'],['710'],https://www.amazon.com/Practical-Statistics-Data-Scientists-Essential/dp/149207294X/ref=sr_1_5?crid=2YD904R136ZW3&keywords=data+science+books&qid=1687786341&refinements=p_n_feature_browse-bin%3A2656022011&rnid=618072011&s=books&sprefix=data+science+books%2Caps%2C421&sr=1-5,38.49
"Essential Math for Data Science: Take Control of Your Data with Fundamental Linear Algebra, Probability, and Statistics",Thomas Nield,O'Reilly Media,,347,22693,['4.6'],['140'],https://www.amazon.com/Essential-Math-Data-Science-Fundamental/dp/1098102932/ref=sr_1_6?crid=2YD904R136ZW3&keywords=data+science+books&qid=1687786341&refinements=p_n_feature_browse-bin%3A2656022011&rnid=618072011&s=books&sprefix=data+science+books%2Caps%2C421&sr=1-6,30.82
Data Science for Business: What You Need to Know about Data Mining and Data-Analytic Thinking,"Foster Provost,Tom Fawcett",O'Reilly Media,,413,13748,['4.5'],"['1,207']",https://www.amazon.com/Data-Science-Business-Data-Analytic-Thinking/dp/1449361323/ref=sr_1_7?crid=2YD904R136ZW3&keywords=data+science+books&qid=1687786341&refinements=p_n_feature_browse-bin%3A2656022011&rnid=618072011&s=books&sprefix=data+science+books%2Caps%2C421&sr=1-7,35.68
"R for Data Science: Import, Tidy, Transform, Visualize, and Model Data","Garrett Grolemund,Hadley Wickham",O'Reilly Media,,518,24625,['4.7'],"['1,556']",https://www.amazon.com/Data-Science-Transform-Visualize-Model/dp/1491910399/ref=sr_1_8?crid=2YD904R136ZW3&keywords=data+science+books&qid=1687786341&refinements=p_n_feature_browse-bin%3A2656022011&rnid=618072011&s=books&sprefix=data+science+books%2Caps%2C421&sr=1-8,52.24
"Better Data Visualizations: A Guide for Scholars, Researchers, and Wonks",Jonathan Schwabish,Columbia University Press,,464,31941,['4.5'],['295'],https://www.amazon.com/Better-Data-Visualizations-Scholars-Researchers/dp/0231193114/ref=sr_1_9?crid=2YD904R136ZW3&keywords=data+science+books&qid=1687786341&refinements=p_n_feature_browse-bin%3A2656022011&rnid=618072011&s=books&sprefix=data+science+books%2Caps%2C421&sr=1-9,26.06
"Becoming a Data Head: How to Think, Speak, and Understand Data Science, Statistics, and Machine Learning","Jordan Goldmeier,Alex J. Gutman",Wiley,,272,26450,['4.6'],['268'],https://www.amazon.com/Becoming-Data-Head-Understand-Statistics/dp/1119741742/ref=sr_1_10?crid=2YD904R136ZW3&keywords=data+science+books&qid=1687786341&refinements=p_n_feature_browse-bin%3A2656022011&rnid=618072011&s=books&sprefix=data+science+books%2Caps%2C421&sr=1-10,24.49
